id,ticker,adjusted,Volume,Wap_volume,Open_price,Close_price,High_price,Low_price,Timestamp,Transactions
1,AAPL,True,107746597.0,134.6526,134.31,133.58,135.02,133.08,2021-04-28 04:00:00,783355
2,AAPL,True,151100953.0,134.1771,136.47,133.48,137.07,132.45,2021-04-29 04:00:00,1059387
3,AAPL,True,109425466.0,132.194,131.78,131.46,133.56,131.065,2021-04-30 04:00:00,701292
4,AAPL,True,75135100.0,132.8122,132.04,132.54,134.07,131.83,2021-05-03 04:00:00,580631
5,AAPL,True,137544918.0,127.9654,131.19,127.85,131.4899,126.7,2021-05-04 04:00:00,1182700
6,AAPL,True,84000900.0,129.2267,129.2,128.1,130.45,127.97,2021-05-05 04:00:00,659279
7,AAPL,True,78064334.0,128.6316,127.89,129.74,129.75,127.13,2021-05-06 04:00:00,607088
8,AAPL,True,77691273.0,130.4433,130.85,130.21,131.2582,129.475,2021-05-07 04:00:00,545296
9,AAPL,True,88071229.0,127.8422,129.41,126.85,129.54,126.81,2021-05-10 04:00:00,680681
10,AAPL,True,126142826.0,124.7406,123.5,125.91,126.27,122.77,2021-05-11 04:00:00,922237
11,AAPL,True,112172282.0,123.0599,123.4,122.77,124.64,122.25,2021-05-12 04:00:00,876763
12,AAPL,True,105850339.0,125.1884,124.58,124.97,126.15,124.26,2021-05-13 04:00:00,788603
13,AAPL,True,81872951.0,126.9616,126.25,127.45,127.89,125.85,2021-05-14 04:00:00,535527
14,AAPL,True,74216624.0,125.9467,126.82,126.27,126.93,125.17,2021-05-17 04:00:00,502288
15,AAPL,True,63342929.0,125.9763,126.56,124.85,126.99,124.78,2021-05-18 04:00:00,493538
16,AAPL,True,92593489.0,124.0238,123.16,124.69,124.915,122.86,2021-05-19 04:00:00,674397
17,AAPL,True,76852123.0,126.8581,125.23,127.31,127.72,125.1,2021-05-20 04:00:00,494796
18,AAPL,True,79295436.0,126.1486,127.82,125.43,128.0,125.21,2021-05-21 04:00:00,527860
19,AAPL,True,63067944.0,127.2698,126.01,127.1,127.94,125.94,2021-05-24 04:00:00,442120
